	model	trainable	batch	lr	dropout	iteration	string	acc
0	VGG16	False	16	1e-05	0.4	0	VGG16_train-False_batch-16_lr-1e-05_dropout-0.4	0.5394801051051051
1	VGG16	False	16	1e-05	0.5	0	VGG16_train-False_batch-16_lr-1e-05_dropout-0.5	0.5322165915915916
2	VGG16	False	16	1e-05	0.6	0	VGG16_train-False_batch-16_lr-1e-05_dropout-0.6	0.5015015015015015
3	VGG16	False	16	1e-06	0.4	0	VGG16_train-False_batch-16_lr-1e-06_dropout-0.4	0.5217811561561562
4	VGG16	False	16	1e-06	0.5	0	VGG16_train-False_batch-16_lr-1e-06_dropout-0.5	0.5068975225225225
5	VGG16	False	16	1e-06	0.6	0	VGG16_train-False_batch-16_lr-1e-06_dropout-0.6	0.5166150525525526
6	VGG16	False	32	1e-05	0.4	0	VGG16_train-False_batch-32_lr-1e-05_dropout-0.4	0.5431658220720721
7	VGG16	False	32	1e-05	0.5	0	VGG16_train-False_batch-32_lr-1e-05_dropout-0.5	0.5215465465465465
8	VGG16	False	32	1e-05	0.6	0	VGG16_train-False_batch-32_lr-1e-05_dropout-0.6	0.5376618806306306
9	VGG16	False	32	1e-06	0.4	0	VGG16_train-False_batch-32_lr-1e-06_dropout-0.4	0.5147240990990991
10	VGG16	False	32	1e-06	0.5	0	VGG16_train-False_batch-32_lr-1e-06_dropout-0.5	0.5133187875375376
11	VGG16	False	32	1e-06	0.6	0	VGG16_train-False_batch-32_lr-1e-06_dropout-0.6	0.5303490990990991
12	VGG16	False	64	1e-05	0.4	0	VGG16_train-False_batch-64_lr-1e-05_dropout-0.4	0.5284557995495496
13	VGG16	False	64	1e-05	0.5	0	VGG16_train-False_batch-64_lr-1e-05_dropout-0.5	0.5604401276276276
14	VGG16	False	64	1e-05	0.6	0	VGG16_train-False_batch-64_lr-1e-05_dropout-0.6	0.5375868055555556
15	VGG16	False	64	1e-06	0.4	0	VGG16_train-False_batch-64_lr-1e-06_dropout-0.4	0.5072400525525526
16	VGG16	False	64	1e-06	0.5	0	VGG16_train-False_batch-64_lr-1e-06_dropout-0.5	0.496509009009009
17	VGG16	False	64	1e-06	0.6	0	VGG16_train-False_batch-64_lr-1e-06_dropout-0.6	0.49914602102102107
18	VGG16	True	16	1e-05	0.4	0	VGG16_train-True_batch-16_lr-1e-05_dropout-0.4	0.5297625750750751
19	VGG16	True	16	1e-05	0.5	0	VGG16_train-True_batch-16_lr-1e-05_dropout-0.5	0.5433136261261261
20	VGG16	True	16	1e-05	0.6	0	VGG16_train-True_batch-16_lr-1e-05_dropout-0.6	0.5264780405405406
21	VGG16	True	16	1e-06	0.4	0	VGG16_train-True_batch-16_lr-1e-06_dropout-0.4	0.5214620870870871
22	VGG16	True	16	1e-06	0.5	0	VGG16_train-True_batch-16_lr-1e-06_dropout-0.5	0.510986768018018
23	VGG16	True	16	1e-06	0.6	0	VGG16_train-True_batch-16_lr-1e-06_dropout-0.6	0.501733765015015
24	VGG16	True	32	1e-05	0.4	0	VGG16_train-True_batch-32_lr-1e-05_dropout-0.4	0.5478908596096096
25	VGG16	True	32	1e-05	0.5	0	VGG16_train-True_batch-32_lr-1e-05_dropout-0.5	0.529835304054054
26	VGG16	True	32	1e-05	0.6	0	VGG16_train-True_batch-32_lr-1e-05_dropout-0.6	0.5737495307807807
27	VGG16	True	32	1e-06	0.4	0	VGG16_train-True_batch-32_lr-1e-06_dropout-0.4	0.5203500375375375
28	VGG16	True	32	1e-06	0.5	0	VGG16_train-True_batch-32_lr-1e-06_dropout-0.5	0.501977759009009
29	VGG16	True	32	1e-06	0.6	0	VGG16_train-True_batch-32_lr-1e-06_dropout-0.6	0.5625023460960961
30	VGG16	True	64	1e-05	0.4	0	VGG16_train-True_batch-64_lr-1e-05_dropout-0.4	0.5353040540540541
31	VGG16	True	64	1e-05	0.5	0	VGG16_train-True_batch-64_lr-1e-05_dropout-0.5	0.5050417605105105
32	VGG16	True	64	1e-05	0.6	0	VGG16_train-True_batch-64_lr-1e-05_dropout-0.6	0.5646654466966967
33	VGG16	True	64	1e-06	0.4	0	VGG16_train-True_batch-64_lr-1e-06_dropout-0.4	0.5109257695195195
34	VGG16	True	64	1e-06	0.5	0	VGG16_train-True_batch-64_lr-1e-06_dropout-0.5	0.5184825450450451
35	VGG16	True	64	1e-06	0.6	0	VGG16_train-True_batch-64_lr-1e-06_dropout-0.6	0.5283244181681682
36	VGG16	False	16	1e-05	0.4	1	VGG16_train-False_batch-16_lr-1e-05_dropout-0.4	0.507911036036036
37	VGG16	False	16	1e-05	0.5	1	VGG16_train-False_batch-16_lr-1e-05_dropout-0.5	0.5477195945945946
38	VGG16	False	16	1e-05	0.6	1	VGG16_train-False_batch-16_lr-1e-05_dropout-0.6	0.5736556869369369
39	VGG16	False	16	1e-06	0.4	1	VGG16_train-False_batch-16_lr-1e-06_dropout-0.4	0.5658478791291291
40	VGG16	False	16	1e-06	0.5	1	VGG16_train-False_batch-16_lr-1e-06_dropout-0.5	0.5266868430930931
41	VGG16	False	16	1e-06	0.6	1	VGG16_train-False_batch-16_lr-1e-06_dropout-0.6	0.5288405593093093
42	VGG16	False	32	1e-05	0.4	1	VGG16_train-False_batch-32_lr-1e-05_dropout-0.4	0.5562171546546546
43	VGG16	False	32	1e-05	0.5	1	VGG16_train-False_batch-32_lr-1e-05_dropout-0.5	0.5686491178678679
44	VGG16	False	32	1e-05	0.6	1	VGG16_train-False_batch-32_lr-1e-05_dropout-0.6	0.5905358483483483
45	VGG16	False	32	1e-06	0.4	1	VGG16_train-False_batch-32_lr-1e-06_dropout-0.4	0.5107310435435435
46	VGG16	False	32	1e-06	0.5	1	VGG16_train-False_batch-32_lr-1e-06_dropout-0.5	0.5029420045045044
47	VGG16	False	32	1e-06	0.6	1	VGG16_train-False_batch-32_lr-1e-06_dropout-0.6	0.5274070945945946
48	VGG16	False	64	1e-05	0.4	1	VGG16_train-False_batch-64_lr-1e-05_dropout-0.4	0.5569725975975975
49	VGG16	False	64	1e-05	0.5	1	VGG16_train-False_batch-64_lr-1e-05_dropout-0.5	0.5591826201201201
50	VGG16	False	64	1e-05	0.6	1	VGG16_train-False_batch-64_lr-1e-05_dropout-0.6	0.5512105855855856
51	VGG16	False	64	1e-06	0.4	1	VGG16_train-False_batch-64_lr-1e-06_dropout-0.4	0.508105762012012
52	VGG16	False	64	1e-06	0.5	1	VGG16_train-False_batch-64_lr-1e-06_dropout-0.5	0.5043097785285285
53	VGG16	False	64	1e-06	0.6	1	VGG16_train-False_batch-64_lr-1e-06_dropout-0.6	0.504443506006006
54	VGG16	True	16	1e-05	0.4	1	VGG16_train-True_batch-16_lr-1e-05_dropout-0.4	0.528322072072072
55	VGG16	True	16	1e-05	0.5	1	VGG16_train-True_batch-16_lr-1e-05_dropout-0.5	0.508887012012012
56	VGG16	True	16	1e-05	0.6	1	VGG16_train-True_batch-16_lr-1e-05_dropout-0.6	0.5
57	VGG16	True	16	1e-06	0.4	1	VGG16_train-True_batch-16_lr-1e-06_dropout-0.4	0.5328406531531531
58	VGG16	True	16	1e-06	0.5	1	VGG16_train-True_batch-16_lr-1e-06_dropout-0.5	0.6003988363363364
59	VGG16	True	16	1e-06	0.6	1	VGG16_train-True_batch-16_lr-1e-06_dropout-0.6	0.5477805930930931
60	VGG16	True	32	1e-05	0.4	1	VGG16_train-True_batch-32_lr-1e-05_dropout-0.4	0.551759572072072
61	VGG16	True	32	1e-05	0.5	1	VGG16_train-True_batch-32_lr-1e-05_dropout-0.5	0.511230762012012
62	VGG16	True	32	1e-05	0.6	1	VGG16_train-True_batch-32_lr-1e-05_dropout-0.6	0.5636378566066066
63	VGG16	True	32	1e-06	0.4	1	VGG16_train-True_batch-32_lr-1e-06_dropout-0.4	0.51674878003003
64	VGG16	True	32	1e-06	0.5	1	VGG16_train-True_batch-32_lr-1e-06_dropout-0.5	0.5521161786786787
65	VGG16	True	32	1e-06	0.6	1	VGG16_train-True_batch-32_lr-1e-06_dropout-0.6	0.5369158220720721
66	VGG16	True	64	1e-05	0.4	1	VGG16_train-True_batch-64_lr-1e-05_dropout-0.4	0.5692661411411412
67	VGG16	True	64	1e-05	0.5	1	VGG16_train-True_batch-64_lr-1e-05_dropout-0.5	0.5192403340840841
68	VGG16	True	64	1e-05	0.6	1	VGG16_train-True_batch-64_lr-1e-05_dropout-0.6	0.6401088588588588
69	VGG16	True	64	1e-06	0.4	1	VGG16_train-True_batch-64_lr-1e-06_dropout-0.4	0.5990193318318319
70	VGG16	True	64	1e-06	0.5	1	VGG16_train-True_batch-64_lr-1e-06_dropout-0.5	0.5133187875375376
71	VGG16	True	64	1e-06	0.6	1	VGG16_train-True_batch-64_lr-1e-06_dropout-0.6	0.5795490803303303
72	VGG16	False	16	1e-05	0.4	2	VGG16_train-False_batch-16_lr-1e-05_dropout-0.4	0.5244768205705705
73	VGG16	False	16	1e-05	0.5	2	VGG16_train-False_batch-16_lr-1e-05_dropout-0.5	0.5588424361861862
74	VGG16	False	16	1e-05	0.6	2	VGG16_train-False_batch-16_lr-1e-05_dropout-0.6	0.5534534534534534
75	VGG16	False	16	1e-06	0.4	2	VGG16_train-False_batch-16_lr-1e-06_dropout-0.4	0.5249765390390391
76	VGG16	False	16	1e-06	0.5	2	VGG16_train-False_batch-16_lr-1e-06_dropout-0.5	0.5188978040540541
77	VGG16	False	16	1e-06	0.6	2	VGG16_train-False_batch-16_lr-1e-06_dropout-0.6	0.5020387575075075
78	VGG16	False	32	1e-05	0.4	2	VGG16_train-False_batch-32_lr-1e-05_dropout-0.4	0.5850014076576577
79	VGG16	False	32	1e-05	0.5	2	VGG16_train-False_batch-32_lr-1e-05_dropout-0.5	0.5417839714714714
80	VGG16	False	32	1e-05	0.6	2	VGG16_train-False_batch-32_lr-1e-05_dropout-0.6	0.6044176989489489
81	VGG16	False	32	1e-06	0.4	2	VGG16_train-False_batch-32_lr-1e-06_dropout-0.4	0.5020387575075075
82	VGG16	False	32	1e-06	0.5	2	VGG16_train-False_batch-32_lr-1e-06_dropout-0.5	0.5175300300300301
83	VGG16	False	32	1e-06	0.6	2	VGG16_train-False_batch-32_lr-1e-06_dropout-0.6	0.5110477665165165
84	VGG16	False	64	1e-05	0.4	2	VGG16_train-False_batch-64_lr-1e-05_dropout-0.4	0.5103885135135136
85	VGG16	False	64	1e-05	0.5	2	VGG16_train-False_batch-64_lr-1e-05_dropout-0.5	0.5419575825825825
86	VGG16	False	64	1e-05	0.6	2	VGG16_train-False_batch-64_lr-1e-05_dropout-0.6	0.5169833896396396
87	VGG16	False	64	1e-06	0.4	2	VGG16_train-False_batch-64_lr-1e-06_dropout-0.4	0.5713330518018018
88	VGG16	False	64	1e-06	0.5	2	VGG16_train-False_batch-64_lr-1e-06_dropout-0.5	0.515894801051051
89	VGG16	False	64	1e-06	0.6	2	VGG16_train-False_batch-64_lr-1e-06_dropout-0.6	0.533567942942943
90	VGG16	True	16	1e-05	0.4	2	VGG16_train-True_batch-16_lr-1e-05_dropout-0.4	0.5
91	VGG16	True	16	1e-05	0.5	2	VGG16_train-True_batch-16_lr-1e-05_dropout-0.5	0.5831245307807809
92	VGG16	True	16	1e-05	0.6	2	VGG16_train-True_batch-16_lr-1e-05_dropout-0.6	0.5192755255255256
93	VGG16	True	16	1e-06	0.4	2	VGG16_train-True_batch-16_lr-1e-06_dropout-0.4	0.49925628753753754
94	VGG16	True	16	1e-06	0.5	2	VGG16_train-True_batch-16_lr-1e-06_dropout-0.5	0.6358741554054055
95	VGG16	True	16	1e-06	0.6	2	VGG16_train-True_batch-16_lr-1e-06_dropout-0.6	0.528932057057057
96	VGG16	True	32	1e-05	0.4	2	VGG16_train-True_batch-32_lr-1e-05_dropout-0.4	0.5753824136636637
97	VGG16	True	32	1e-05	0.5	2	VGG16_train-True_batch-32_lr-1e-05_dropout-0.5	0.5334248310810811
98	VGG16	True	32	1e-05	0.6	2	VGG16_train-True_batch-32_lr-1e-05_dropout-0.6	0.5959694069069069
99	VGG16	True	32	1e-06	0.4	2	VGG16_train-True_batch-32_lr-1e-06_dropout-0.4	0.5315690690690691
100	VGG16	True	32	1e-06	0.5	2	VGG16_train-True_batch-32_lr-1e-06_dropout-0.5	0.5690479542042042
101	VGG16	True	32	1e-06	0.6	2	VGG16_train-True_batch-32_lr-1e-06_dropout-0.6	0.509668262012012
102	VGG16	True	64	1e-05	0.4	2	VGG16_train-True_batch-64_lr-1e-05_dropout-0.4	0.5595978791291292
103	VGG16	True	64	1e-05	0.5	2	VGG16_train-True_batch-64_lr-1e-05_dropout-0.5	0.6430860548048047
104	VGG16	True	64	1e-05	0.6	2	VGG16_train-True_batch-64_lr-1e-05_dropout-0.6	0.5550558370870871
105	VGG16	True	64	1e-06	0.4	2	VGG16_train-True_batch-64_lr-1e-06_dropout-0.4	0.6306845908408408
106	VGG16	True	64	1e-06	0.5	2	VGG16_train-True_batch-64_lr-1e-06_dropout-0.5	0.505762012012012
107	VGG16	True	64	1e-06	0.6	2	VGG16_train-True_batch-64_lr-1e-06_dropout-0.6	0.6273296734234235
108	VGG16	False	16	1e-05	0.4	3	VGG16_train-False_batch-16_lr-1e-05_dropout-0.4	0.5107310435435435
109	VGG16	False	16	1e-05	0.5	3	VGG16_train-False_batch-16_lr-1e-05_dropout-0.5	0.5591708896396397
110	VGG16	False	16	1e-05	0.6	3	VGG16_train-False_batch-16_lr-1e-05_dropout-0.6	0.555419481981982
